Country Code,year,gdp
NGA,1962,4909302953.94092
NIC,1962,265291588.666667
NLD,1962,14647057370.1418
NOR,1962,6066976682.67364
NPL,1962,574091101.194382
NRU,1962,19670443.687113196
NZL,1962,6077496267.76294
OMN,1962,25401887924.71011
PAK,1962,4310163796.72407
PAN,1962,652120900.0
PER,1962,3286773187.87313
PHL,1962,4954529277.07288
PLW,1962,77196327.86885247
PNG,1962,261184037.372302
POL,1962,177593126796.138
PRI,1962,2094400000.0
PRK,1962,0.0
PRT,1962,3668222357.65702
PRY,1962,11707556498.72971
PSE,1962,4046395081.967213
PYF,1962,3073710104.1755886
QAT,1962,44723543642.99659
ROU,1962,66111939150.72315
RUS,1962,555404876959.0406
RWA,1962,125000008.0
SAU,1962,242660087889.15347
SDN,1962,1541666666.66667
SEN,1962,1085475573.50828
SGP,1962,826244609.95688
SLB,1962,463600517.84442437
SLE,1962,342721579.817636
SLV,1962,9420575952.52459
SMR,1962,586215240.5283029
SOM,1962,203531927.547229
SRB,1962,15777264381.744091
SSD,1962,1846636951.5730624
STP,1962,88261795.62605375
SUR,1962,116150000.0
SVK,1962,33225453599.60619
SVN,1962,17581941619.68211
SWE,1962,18667251380.0746
SWZ,1962,45927061.4587708
SXM,1962,148917483.28601506
SYC,1962,12642026.5718964
SYR,1962,1110565880.75881
TCA,1962,265148700.0
TCD,1962,357635713.871813
TGO,1962,132237441.630863
THA,1962,3308912796.93487
TJK,1962,2193586410.8217816
TKM,1962,8129531507.156664
TLS,1962,413439435.4468182
TON,1962,173590624.42727166
TTO,1962,619319197.340022
TUN,1962,19241431340.168407
TUR,1962,8922222222.22222
TUV,1962,14202894.534310814
TZA,1962,14201475803.773626
UGA,1962,449012578.616352
UKR,1962,56364178796.38789
URY,1962,1710004407.22785
USA,1962,605100000000.0
UZB,1962,18391294439.22637
VCT,1962,14524878.959342
VEN,1962,8946969696.9697
VGB,1962,0.0
VIR,1962,1247213114.7540984
VNM,1962,65250874015.8608
VUT,1962,288356888.9715
WSM,1962,281085415.68376553
YEM,1962,8666793960.990273
ZAF,1962,9813996078.52345
ZMB,1962,693142857.142857
ZWE,1962,1117601600.0
ABW,1963,1184220177.4478395
AFG,1963,751111191.111111
AGO,1963,26122388895.66278
ALB,1963,4477798007.687516
AND,1963,1386951657.1866064
ARE,1963,124174090039.84363
ARG,1963,18272123664.4715
ARM,1963,3411659248.013346
ASM,1963,197081967.21311477
ATG,1963,579804757.3891925
AUS,1963,21538806137.3054
AUT,1963,8374175257.73075
AZE,1963,14678747979.835789
BDI,1963,232749998.0
BEL,1963,14260017387.0492
BEN,1963,253927646.475909
BFA,1963,394040588.303477
BGD,1963,5319458351.16235
BGR,1963,22497560945.75715
BHR,1963,10617093027.184528
BHS,1963,237745098.039216
BIH,1963,5842961621.574733
BLR,1963,19914459083.324207
BLZ,1963,33749405.0118998
BMU,1963,96366652.3032171
BOL,1963,478805990.083307
BRA,1963,23287712878.2002
BRB,1963,2225541591.650501
BRN,1963,5851795996.03707
BTN,1963,623736760.1298324
BWA,1963,38091150.566196
CAF,1963,129379097.888958
