Country Code,year,govexp
OMN,2003,3.89699006080627
OSS,2003,5.81677007675171
PAK,2003,2.352571912433791
PAN,2003,4.16870021820068
PER,2003,2.93779993057251
PHL,2003,2.93517994880676
PLW,2003,6.9958113670349125
PNG,2003,3.2507299979527784
POL,2003,5.32449007034302
PRE,2003,2.994767010211946
PRI,2003,5.548230662065394
PRT,2003,5.28152990341187
PRY,2003,3.3827600479126
PSE,2003,5.106291234493258
PSS,2003,
PST,2003,5.19785499572754
PYF,2003,
QAT,2003,3.37393999099731
ROU,2003,3.54397010803223
RUS,2003,3.67853999137878
RWA,2003,3.6059851932525646
SAS,2003,3.11435008049011
SAU,2003,7.10509014129639
SDN,2003,1.4420828478676928
SEN,2003,2.75125002861023
SGP,2003,3.98194003105164
SLB,2003,8.577741819269512
SLE,2003,3.26061010360718
SLV,2003,3.13467001914978
SMR,2003,3.230164676904679
SOM,2003,0.6180270463228228
SRB,2003,4.010269145170848
SSA,2003,3.3423687398433692
SSD,2003,1.2458063562711088
SSF,2003,3.3423687398433692
SST,2003,5.27309989929199
STP,2003,3.24692988395691
SUR,2003,5.565956751505535
SVK,2003,4.20956993103027
SVN,2003,5.70333003997803
SWE,2003,6.79142999649048
SWZ,2003,5.81677007675171
SXM,2003,
SYC,2003,5.37492990493774
SYR,2003,6.48084020614624
TCA,2003,4.72877979278564
TCD,2003,2.3651324748992915
TEA,2003,3.3760655295281197
TEC,2003,3.61125504970551
TGO,2003,3.32609009742737
THA,2003,3.72561001777649
TJK,2003,2.42078995704651
TKM,2003,3.0849499702453604
TLA,2003,3.45890498161316
TLS,2003,7.227230035341703
TMN,2003,4.254747486114502
TON,2003,4.15951013565063
TSA,2003,3.11435008049011
TSS,2003,3.3423687398433692
TTO,2003,3.13660001754761
TUN,2003,6.81675004959106
TUR,2003,2.85131001472473
TUV,2003,5.642505049705505
TZA,2003,3.4221517728722612
UGA,2003,2.5854131229992565
UKR,2003,5.4001898765564
UMC,2003,3.86203002929688
URY,2003,2.0682098865509
USA,2003,5.701594135978004
UZB,2003,5.77790403366089
VCT,2003,8.63780975341797
 RB,2003,4.090330020241114
VGB,2003,4.260085013177662
VIR,2003,
VNM,2003,4.654999769650975
VUT,2003,8.44151020050049
WLD,2003,4.11728000640869
WSM,2003,4.710223734378815
XKX,2003,
ZAF,2003,4.35209989547729
ZMB,2003,3.7912145228612992
ZWE,2003,9.083271551132198
ABW,2004,4.40848016738892
AFE,2004,3.74496006965637
AFG,2004,2.6923037171363844
AFW,2004,2.68110001087189
AGO,2004,3.1170866830008372
ALB,2004,3.22751998901367
AND,2004,1.54411995410919
ARB,2004,4.67072010040283
ARE,2004,2.0256467103958142
ARG,2004,3.48652005195618
ARM,2004,2.48673009872437
ASM,2004,14.7170495986938
ATG,2004,2.841239103904137
AUS,2004,5.1725976326886345
AUT,2004,5.30243015289307
AZE,2004,3.44770002365112
BDI,2004,3.74496006965637
BEL,2004,5.67661085622064
BEN,2004,2.56690001487732
BFA,2004,3.5355524718761435
BGD,2004,1.94014000892639
BGR,2004,2.31995010375977
BHR,2004,2.681779980659485
BIH,2004,
BLR,2004,5.7122597694397
BLZ,2004,5.3358998298645
BMU,2004,1.77587997913361
BOL,2004,8.316376772793857
BRA,2004,3.97447991371155
BRB,2004,6.02428007125854
BRN,2004,3.7034059409742013
BTN,2004,6.60906982421875
BWA,2004,6.3450733290778265
CAF,2004,1.6245299577713
CAN,2004,5.920394155714247
CEB,2004,4.83406019210815
CHE,2004,5.29307985305786
CHI,2004,
CHL,2004,3.53838992118835
CHN,2004,2.4853317156070616
CIV,2004,2.91176009178162
CMR,2004,2.79530000686646
COL,2004,4.07934999465942
COM,2004,2.76665872335434
CPV,2004,7.47664022445679
CRI,2004,4.89062976837158
CSS,2004,3.91254997253418
CUB,2004,10.2682304382324
CUW,2004,6.500905922480993
CYM,2004,2.115682721138
CYP,2004,6.11772012710571
CZE,2004,3.99238991737366
DEU,2004,4.701914000511169
DJI,2004,9.26467037200928
DMA,2004,4.867326521873475
DNK,2004,8.2076301574707
DOM,2004,2.3878883957862858
DZA,2004,6.453123982747396
EAP,2004,2.74847006797791
EAR,2004,3.41953003406525
EAS,2004,3.65276002883911
ECA,2004,3.22751998901367
ECS,2004,4.72940015792847
ECU,2004,3.8537078577539194
EMU,2004,4.9615650177002
ERI,2004,3.14896988868713
ESP,2004,4.15785980224609
EST,2004,4.87674999237061
ETH,2004,4.025005531311035
EUU,2004,4.9615650177002
FCS,2004,3.267714056101714
FIN,2004,6.15757989883423
FJI,2004,6.20915985107422
FRA,2004,4.839316673767873
FRO,2004,8.036677181720735
GAB,2004,3.0491166909535723
GBR,2004,4.72940015792847
GEO,2004,2.91420006752014
GHA,2004,7.53558015823364
GIB,2004,
GIN,2004,2.21000003814697
GNB,2004,2.491043339172999
GNQ,2004,2.18797993659973
GRC,2004,3.66719007492065
GRD,2004,3.7229249477386475
GRL,2004,11.730675458908074
GTM,2004,2.6140831763094132
GUM,2004,
GUY,2004,5.51293992996216
HIC,2004,4.87674999237061
HND,2004,4.8237898126244545
HPC,2004,2.86219000816345
HRV,2004,3.78584003448486
HTI,2004,1.3711642898046053
HUN,2004,5.32658004760742
IBD,2004,3.68225002288818
IBT,2004,3.31971502304077
IDA,2004,2.86219000816345
IDB,2004,2.54171502590179
IDN,2004,2.74847006797791
IDX,2004,2.99477005004883
IMN,2004,
IND,2004,3.35254001617432
INX,2004,
IRL,2004,4.48296022415161
IRQ,2004,3.8064679622650117
ISL,2004,7.16118001937866
ISR,2004,5.94027996063232
ITA,2004,4.38520002365112
JAM,2004,3.91254997253418
JOR,2004,4.038012353997482
JPN,2004,3.42611002922058
KAZ,2004,2.25590991973877
KEN,2004,6.79692983627319
KGZ,2004,4.62243986129761
KHM,2004,1.71982002258301
KIR,2004,10.069040743509929
KNA,2004,3.9713499546051
KWT,2004,5.53506994247437
LAC,2004,3.97447991371155
LAO,2004,2.41300010681152
LBN,2004,2.64094996452332
LBR,2004,2.197291483481725
LBY,2004,2.26416993141174
LCA,2004,3.43646001815796
LCN,2004,3.74560499191284
LDC,2004,2.81261992454529
LIC,2004,3.10713005065918
LIE,2004,2.43333005905151
LKA,2004,2.4790929450708283
LMC,2004,3.07778000831604
LMY,2004,3.22751998901367
LSO,2004,11.1090097427368
LTE,2004,4.07934999465942
LTU,2004,5.17428016662598
LUX,2004,3.8574892705486667
LVA,2004,4.83406019210815
MAF,2004,
MAR,2004,5.34630499464093
MCO,2004,1.2438600063324
MDA,2004,6.77103996276855
MDG,2004,2.81261992454529
MDV,2004,4.66160011291504
MEA,2004,5.37147998809814
MEX,2004,4.72670984268188
MHL,2004,15.927850723266609
MIC,2004,3.46711003780365
MKD,2004,4.294133345286052
MLI,2004,3.85922002792358
MLT,2004,4.43492984771729
MMR,2004,1.96425821500666
MNA,2004,4.42382968796624
MNE,2004,
MNG,2004,4.32572984695435
MNP,2004,
MOZ,2004,3.32669997215271
MRT,2004,1.9507999420166
MUS,2004,4.31306982040405
MWI,2004,3.892547615936824
MYS,2004,5.92389011383057
NAC,2004,6.016241359710693
NAM,2004,8.155341549923545
NCL,2004,
NER,2004,2.803272162164961
NGA,2004,1.3989874422550204
NIC,2004,3.6415728500911166
NLD,2004,5.06297016143799
NOR,2004,7.2982702255249
NPL,2004,3.17194008827209
NRU,2004,5.764732095930311
NZL,2004,6.51203012466431
OED,2004,4.89062976837158
OMN,2004,4.02835988998413
OSS,2004,5.13917994499207
PAK,2004,1.76759004592896
PAN,2004,3.5786600112915
PER,2004,2.95787000656128
PHL,2004,2.46983003616333
PLW,2004,6.9958113670349125
PNG,2004,3.2507299979527784
POL,2004,5.35557985305786
PRE,2004,2.86219000816345
PRI,2004,5.548230662065394
PRT,2004,5.04638004302979
PRY,2004,2.86989998817444
PSE,2004,5.106291234493258
PSS,2004,
PST,2004,5.12376022338867
PYF,2004,
QAT,2004,3.46258997917175
ROU,2004,3.31273007392883
RUS,2004,3.54786992073059
RWA,2004,3.6059851932525646
SAS,2004,2.55604004859924
SAU,2004,6.2774600982666
SDN,2004,1.31254994869232
SEN,2004,3.07778000831604
SGP,2004,3.65276002883911
SLB,2004,8.577741819269512
SLE,2004,3.10713005065918
SLV,2004,3.4743476564233955
SMR,2004,3.230164676904679
SOM,2004,0.6180270463228228
SRB,2004,4.010269145170848
SSA,2004,3.10713005065918
SSD,2004,1.2458063562711088
SSF,2004,3.10713005065918
SST,2004,4.87674999237061
STP,2004,3.23470997810364
SUR,2004,5.565956751505535
SVK,2004,4.10157012939453
SVN,2004,5.64425992965698
SWE,2004,6.66310977935791
SWZ,2004,5.40160989761353
SXM,2004,
SYC,2004,5.627166366577148
SYR,2004,5.37147998809814
TCA,2004,3.4598347504933664
TCD,2004,1.59294998645782
TEA,2004,2.74847006797791
TEC,2004,3.38021504878997
TGO,2004,3.10963010787964
THA,2004,4.03088998794556
TJK,2004,2.77203011512756
TKM,2004,3.0849499702453604
TLA,2004,3.5786600112915
TLS,2004,7.227230035341703
TMN,2004,4.254747486114502
TON,2004,3.91376996040344
TSA,2004,2.55604004859924
TSS,2004,3.10713005065918
TTO,2004,3.965435195852209
TUN,2004,6.72078990936279
TUR,2004,2.98998999595642
TUV,2004,5.642505049705505
TZA,2004,3.56122994422913
UGA,2004,4.95237016677856
UKR,2004,5.12376022338867
UMC,2004,3.91254997253418
URY,2004,2.49954009056091
USA,2004,5.701594135978004
UZB,2004,5.77790403366089
VCT,2004,5.814232915639877
 RB,2004,4.090330020241114
VGB,2004,4.260085013177662
VIR,2004,
VNM,2004,4.654999769650975
